 Nature	 പ്രകൃതി
Congo tea	കാംങോചായ
Camdar	കാംദാർ
Crow.	കാക.
കാകം	കാകം
കാകകദാനി	കാകകദാനി
Kakachadi	കാകച്ഛദി
Kakatasingi	കാകടാസീംഗി
Cuckoo	കാകട്
Crow sight	കാകദൃഷ്ടി
Kakan	കാകന്‍
കാകഭുശുണ്ടി	കാകഭുശുണ്ടി
Kakamadgu	കാകമദ്ഗു
Kaka	കാകാ
Kakini	കാകിണി
Kakinada	കാകിനാട
Kakin	കാകീണ്
Crow	കാകു
കാകുദം	കാകുദം
Cuckoo	കാകൊട്ട
Kakodaram	കാകോദരം
The crow	കാക്ക
Crow	കാക്കകുഞ്ഞ്
Cuckoo	കാക്കപൂവ്
Cuckoo	കാക്കപൊന്ന്‍
Cuckoo	കാക്കപ്പുളളി
കാക്കൽ	കാക്കല്
Khaki color	കാക്കി നിറം
Cactus flower	കാക്കോത്തി പൂവ്
കാചാക്ഷം	കാചാക്ഷം
കാച്ചിൽ	കാച്ചിൽ
Kajaladu	കാജാലഡു
Kajaladu flour	കാജാലഡു മാവ്
Kanchani	കാഞ്ചനി
Kanchi	കാഞ്ചി
Kanchiranga	കാഞ്ചിരംഗ
Kanchipuram	കാഞ്ചീപുരം
കാഞ്ഞനം	കാഞ്ഞനം
Wild	കാടന്‍
Quail	കാടപ്പക്ഷി
Quail	കാടവല
കാടി	കാടി
The forest	കാടു
A place full of forest and sea	കാടും പടലും നിറഞ്ഞ സ്ഥലം
The forest	കാടു്
The forest	കാട്
കാട്ടം	കാട്ടം
Savage	കാട്ടാളര്
Wild duck	കാട്ടു താറാവ്
Wild bees	കാട്ടു തേനീച്ച
Wild land	കാട്ടു നിലം
Wild potato	കാട്ടുകിഴങ്ങ്
Killed wild.	കാട്ടുകൊന്ന.
Wild chicken	കാട്ടുകോഴി
Wild cane	കാട്ടുചൂരല്‍
Wild scorpion	കാട്ടുതേൾ
കാട്ടുനായ്⁇	കാട്ടുനായ്‌
Wildcat	കാട്ടുപൂച്ച
Wildflower	കാട്ടുപൂവ്
To wild	കാട്ടുമാക്കാൻ
Wild potatoes	കാട്ടുരുളക്കിഴങ്ങ്
Wild	കാട്ടുള്‍ളി
Wildlife	കാട്ടുവാസം
Wilderness	കാട്ടുവാസി
Forest dwellers	കാട്ടുവാസികള്‍
Wild boar	കാട്ടെരുമ
കാട്ടെള്ള്	കാട്ടെള്ള്
Wild dates	കാട്ട് ഈന്തപ്പഴം
Wild cannabis	കാട്ട് കഞ്ചാവ്
Wild cow dung	കാട്ട് ചാണക വറളി
Wild cumin	കാട്ട് ജീരകം
Wild mint	കാട്ട് തുളസി
Wild cat	കാട്ട് പൂച്ച
Wild almonds	കാട്ട് ബദാം
Wild banana	കാട്ട് വാഴ
Wild basil	കാട്ട്തുളസി
Wild hawk	കാട്ട്പരുന്ത്
Deforestation	കാട്നശികരണം
Hardness	കാഠിന്യം
Kathmandu	കാഠ്മണ്ഡു
See	കാണം
Viewing	കാണല്
Viewing	കാണല്‍
Missing	കാണാതാവൽ
Show	കാണി
Show	കാണിക്ക
Spectators	കാണികൾ
Showbox	കാണിയ്ക്കാപെട്ടി
കാണിയ്ക്കാവഞ്ചി	കാണിയ്ക്കാവഞ്ചി
Don't look straight ahead.	കാണേണ്ടതു നേരെ കാണാന്‍ കഴിയാതെ വരിക.
Rhinoceros.	കാണ്ടാമൃഗം.
Stems	കാണ്ഡം
Kanpur	കാണ്‍പുര്‍
Kanpur Dehat	കാണ്‍പൂര്‍ ദേഹാത്
City of Kanpur	കാണ്‍പൂര്‍ നഗരം
Viewing	കാണൽ
The tree with the heart	കാതലുള്ള വൃക്ഷം
Love	കാതല്‍
Heart wood	കാതല്‍ തടി
Ear run	കാതിലെ ഓട്ട
Ear piercing	കാതിലെ തുള
Earlobe	കാതിലോതല്
In the ear	കാതില്
Ear	കാത്
Black white horse with both ears	കാത് രണ്ടും കറുത്ത വെള്ളക്കുതിര
കാത്കുത്ത്	കാത്കുത്ത്
Waiting	കാത്തിരിക്കുന്ന
Waiting	കാത്തിരിക്കുൽ
The wait	കാത്തിരിപ്പ്
Katyayan	കാത്യായന്‍
Love	കാതൽ
Canada	കാനഡ
Canadian	കാനഡക്കാരന്
Forest	കാനനം
Wildflower	കാനനപുഷ്പം
Wilderness	കാനനവാസം
Canaveja	കാനവെജ
Cannon	കാനീനന്‍
Census	കാനേഷുമാരികണക്കെടുപ്പ്
Magnet	കാന്ത
Magnet	കാന്തം
Magnet.	കാന്തം.
Magnetism	കാന്തശക്തി
കാന്താരം	കാന്താരം
Magnet	കാന്തി
Kandhyamala	കാന്ധ്യമല
Canvas	കാന്വാസ്
Hypocrisy	കാപട്യം
Without hypocrisy	കാപട്യമില്ലാത്ത
Hypocrisy	കാപട്യരാഹിത്യം
കാപാലികന്മാര്	കാപാലികന്മാര്
Coffee	കാപ്പി
Coffee tune	കാപ്പി രാഗം
Coffee.	കാപ്പി.
Coffee shop	കാപ്പിക്കട
Coffee bean	കാപ്പിക്കുരു
കാപ്പു	കാപ്പു്
കാപ്പു⁇	കാപ്പു്‌
Capsicum	കാപ്സിക്കം
Cabbage Chinese	കാബ ചീനി
Kaaba	കാബാ
Cabbage furnace	കാബീസ് ചൂള
Kabul	കാബുൽ
Kabuli	കാബൂളി
Kabuli language	കാബൂളി ഭാഷ
Kabuli Pomegranate Lemon	കാബൂളി മാതള നാരങ്ങ
Kabul	കാബൂള്‍
Cabbage	കാബേജ്
Lust	കാമം
Kamada Ekadashi fast	കാമദാ ഏകാദശി വ്രതം
Cupid	കാമദേവന്
Kamadhenu	കാമധേനു
Kamadhenu.	കാമധേനു.
Common	കാമന്
കാമയനി	കാമയനി
Erotic	കാമരൂപി
Kamaroopa District	കാമരൂ‍പ ജില്ല
Cameroon	കാമറൂണ്
Kamalekha	കാമലേഖ
Lust	കാമവികാരം
Erotica	കാമശാസ്ത്രം
Kama Sutra	കാമസൂത്ര
Kamakshi	കാമാക്ഷി
Kamayani	കാമായനി
Camus	കാമായുസ്സ്
Kamika Ekadashi	കാമിക ഏകാദശി
കാമിനിരാഗം	കാമിനിരാഗം
Lover	കാമുകന്
Girlfriend	കാമുകി
Aphrodisiac	കാമോത്തേജകം
Kamoda wedding tune	കാമോദ കല്യാണ രാഗം
Kamoda Tilaka Raga	കാമോദ തിലക രാഗം
Kamoda Nataragam	കാമോദ നടരാഗം
Kamoda Samantaragam	കാമോദ സാമന്തരാഗം
Erotic tune	കാമോദര രാഗം
Kamodikan	കാമോദികന്‍
Eroticism	കാമോദിരാഗം
Eroticism	കാമോദ്ദീപനം
Core	കാമ്പ്
Berry	കായ
Berry treatment	കായ ചികിത്സ
Fruit strength	കായ ബലം
Kayam	കായം
Kayam.	കായം.
കായകല്പം	കായകല്പം
Nutrition	കായപുഷ്ട്ടി
Strength	കായബലം
Backwaters	കായല്
Backwaters.	കായല്.
Fertility	കായവലനം
Bucket	കായസഞ്ചി
Kayastha caste	കായസ്ഥ ജാതി
Sports competition	കായിക മത്സരം
Sports	കായിക വിനോദം
Sports	കായികഭ്യാസം
Sports ground	കായികവിനോദസ്ഥലം
Physical disability	കായികവൈകല്യം
Physical activity	കായികാധ്വാനം
Sports	കായികാഭ്യാസം
Nut	കായ്
Fruiting plant	കായ്ക്കുന്ന ചെടി
Cara	കാര
The reason	കാരം
Factor lamp	കാരക ദീപകം
Factor	കാരകം
Imprisonment	കാരഗ്രഹവാസം
Reason	കാരണം
Causal	കാരണഭൂതന്
Causation	കാരണമാല
The reason	കാരണവര്
കാരപൊട്ടന്	കാരപൊട്ടന്
carrot	കാരറ്റ്
carrot.	കാരറ്റ്.
കാരവം	കാരവം
Prison	കാരാഗൃഹം
Prison.	കാരാഗൃഹം.
Imprisonment	കാരാഗ്രഹം
Car iron	കാരിരുമ്പു്
Karuji	കാരുജി
Mercy	കാരുണ്യം
A look of compassion	കാരുണ്യത്തോടുകൂടിയ നോട്ടം
Merciful	കാരുണ്യവാന്
Merciful	കാരുണ്യവാന്‍
Car	കാര്
Kargil	കാര്ഗില്
Kargil town	കാര്ഗില്പട്ടണം
Carton.	കാര്ട്ടന്.
Cardiff	കാര്ട്ടിഫ്
Cartoon	കാര്ട്ടുണ്‍
Card	കാര്ഡ്
Cardboard	കാര്ഡ്ബോഡ്
Kartaswaram	കാര്തസ്വരം
Karthika	കാര്ത്തിക
Karthika month.	കാര്ത്തിക മാസം.
Karthikeyan	കാര്ത്തികേയന്
Karthayani	കാര്ത്യായനി
Carpet	കാര്പ്പെറ്റു്‌
Carpet	കാര്പ്പെറ്റ്
Carbon	കാര്ബണ്‍
Carbon dioxide	കാര്ബോണ് ഡയോക്സൈഡ്
Carbohydrates	കാര്ബോഹൈഡ്രേറ്റ്
Clouds	കാര്മേഘശകലങ്ങള്
Central Office of Management	കാര്യ നിർവഹണ കേന്ദ്ര ആഫീസ്
Agenda	കാര്യ പരിപാടി
Business profit	കാര്യ ലാഭം
Success	കാര്യ സിദ്ധി
The thing	കാര്യം
Program	കാര്യക്രമം
Schedule	കാര്യക്രമവിവരണം
Efficiency	കാര്യക്ഷമത
Getting Started	കാര്യതുടക്കം
Secretary	കാര്യദര്ശി
Secretary	കാര്യദർശി
Management	കാര്യനിര്വഹണം
Administrator	കാര്യനിര്വാഹകന്
Plan	കാര്യപദ്ധതി
Agenda	കാര്യപരിപാടി
Competent	കാര്യപ്രാപ്തിയുള്ളവൻ
Profit	കാര്യലാഭം
Success	കാര്യസിദ്ധി
The way to success	കാര്യസിദ്ധിക്കുള്ള വഴി
Steward	കാര്യസ്ഥന്
Steward	കാര്യസ്ഥന്‍
Executive	കാര്യാധികാരി
The end	കാര്യാന്തം
Initiation	കാര്യാരംഭം
Office	കാര്യാലയം
End of work	കാര്യാവസാനം
Agricultural matters	കാര്ഷിക കാര്യങ്ങള്
Agricultural pest	കാര്ഷിക കീടം
Agricultural Science	കാര്ഷിക ശാസ്ത്രം
Department of Agriculture	കാര്ഷികവിഭാഗം
Agriculture	കാര്ഷികവൃത്തി
Agricultural equipment	കാര്ഷികോപകരണം
Cardigan	കാര്‍ടിഗണ്‍
Cartoon images	കാര്‍ട്ടുണ്‍ ചിത്രങ്ങള്‍
Cardial	കാര്‍ഡിയല്‍
Karthika	കാര്‍ത്തിക
Karthiani	കാര്‍ത്തിയാനി
Carbonation	കാര്‍ബണീ‍കരണം
Carbon paper	കാര്‍ബണ്‍പേപ്പര്‍
Karbi Anglong District	കാര്‍ബിആംഗലാംഗ് ജില്ല
Cloudy	കാര്‍മേഘാവൃതം
The car	കാറ്
The cloth that the wind puts on top	കാറ്റാടി മുകളില്‍ ഇടുന്ന തുണി
Windmill	കാറ്റാടി യന്ത്രം
Windmill	കാറ്റാടിയന്ത്രം
Wind	കാറ്റുകൊള്ളല്
Windy.	കാറ്റുപായ.
Wind	കാറ്റുവീശല്
Time	കാലം
Doing time	കാലം ചെയ്യല്‍
Time.	കാലം.
Chronology	കാലകണ്ഠ
കാലകേതു	കാലകേതു
Timeline	കാലഗതി
Period	കാലഘട്ടം
Times	കാലങ്ങള്
Cycle	കാലചക്രം
The cycle of time	കാലചക്രൻ
Footprint	കാലടയാളം
Footsteps	കാലടി
Footsteps	കാലടിയൊച്ച
Season	കാലണ
Delay	കാലതാമസം
Chronology	കാലധര്മ്മം
Chronology	കാലനേമി
കാലന്	കാലന്
The direction of the foot.	കാലന്റെ ദിക്ക്.
Quarter	കാലന്‍
കാലപുരി	കാലപുരി
Period	കാലഭേദം
Timeline	കാലമാപി
കാലയവനന്	കാലയവനന്
Monsoon	കാലവര്ഷം
Monsoon	കാലവര്ഷക്കാറ്റ്
Meteorology	കാലവസ്ഥാ ശാസ്ത്രം
Perishable grass	കാലശാക പുല്ല്
Duration	കാലസംഖ്യ
Kalasenan	കാലസേനൻ
Expiry	കാലഹരണപ്പെടല്‍
Expired	കാലഹരണപ്പെട്ട
Kalagnirudra Upanishad	കാലാഗ്നിരുദ്ര ഉപനിഷത്
കാലാദാന്	കാലാദാന്
Kalapani	കാലാപാനി
Kalapur	കാലാപുര്‍
Foot	കാലാള്
Infantry	കാലാള്ഭടൻ
Infantry	കാലാള്സൈന്യം
Duration	കാലാവധി
Weather	കാലാവസ്ഥ
Climate dictated category.	കാലാവസ്ഥയെ കല്പ്പിക്കപ്പെടുന്ന വിഭാഗം.
Meteorologist	കാലാവസ്ഥാവിദഗ്ധന്
Chronology	കാലാസ്ത്രം
Kalahandi	കാലാഹണ്ടി
കാലികയർ	കാലികയര്‍
Cattle feed container	കാലികളുടെ തീറ്റ പാത്രം
Cattle thief	കാലികള്ളന്
Contemporary instrument.	കാലികവാദ്യം.
Cattle hoof	കാലികുളമ്പ്
Cattle nest	കാലികൂടു്‌
Cattle	കാലിക്കൂടു്‌
Herd of cattle	കാലിക്കൂട്ടം
Cattle‌	കാലിക്കൂട്‌
Cattle market	കാലിചന്ത
കാലിചുന്കം	കാലിചുന്കം
Calincher	കാലിഞ്ചര്
Calibration	കാലിടറല്‍
Fodder and water	കാലിതീറ്റയും വെള്‍ളവും
The one who brings fodder	കാലിതീറ്റവെട്ടികൊണ്ട് വരുന്നവൻ
Fodder	കാലിത്തീറ്റ
Leather	കാലിത്തോല്‍
The heel of the foot.	കാലിന്റെ ഉപ്പൂറ്റി.
Calculation of the foot	കാലിന്റെ ഗുണനപട്ടിക
Foot table	കാലിന്റെ പട്ടിക
California	കാലിഫോര്ണിയ
Vacancy	കാലിയിടം
Foot disease	കാലിരോഗം
Legless	കാലില്ലാത്തവര്‍
Footsteps	കാലിസ്ഥലം
Horse with leg injuries	കാലിൽ മുറിവേറ്റ കുതിര
കാലുമാറുന്നവൻ	കാലുമാറുന്നവന്‍
Socks	കാലുറ
Socks.	കാലുറ.
Socks.	കാലുറകള്.
Pollution	കാലുഷ്യം
Legs	കാലു്‌
Footsteps	കാലൊച്ച
Foot	കാല്
Foot massage	കാല് തിരുമൽ
Quarter hour	കാല് നാഴി
Quarter liter container	കാല് ലിറ്ററിന്റെ അളവ് പാത്രം
Calculator	കാല്കുലേറ്റര്
Footsteps	കാല്ച്ചാട്ട
Footsteps	കാല്തരിപ്പ്
Foot	കാല്ത്തള
Infantry.	കാല്നടപ്പട്ടാളം.
Hiking	കാല്നടയാത്ര
Foot	കാല്നാഴി
Fiction	കാല്പനികകഥ
Footsteps	കാല്പാട്
Foot	കാല്പാദം
Quarter	കാല്ഭാഗം
Knee.	കാല്മുട്ട്.
Knee-length dress	കാല്മുട്ട്‌ വരെ തൂങ്ങികിടക്കുന്ന  വസ്‌ത്രം
Quarter	കാല്വണ്ണ
Calving	കാല്വലിച്ചിൽ
Foot	കാല്വള
Footsteps	കാല്വിലങ്ങ്
കാല്ശളരായി	കാല്ശളരായി
Foot part	കാല്‍ ഭാഗം
Leg fat	കാല്‍ വണ്ണ
Feet white.	കാല്‍ വെള്ള.
Foot noise	കാല്‍ ശബ്ദം
Bullock cart	കാള വണ്ടി
Bullock	കാളകണ്ഡം
Cattle poison	കാളകൂട വിഷം
Bullshit	കാളക്കണ്ണട
Calf.	കാളക്കുട്ടി.
Calf / calf	കാളക്കുട്ടി/ പോത്തുകുട്ടി
Cattle market	കാളചന്ത
Bullfighting	കാളമെതിക്കല്‍
Bullshit	കാളയസം
Disease of the nose of the bull	കാളയുടെ മൂക്കിൽ നീരുകെട്ടുന്ന രോഗം
Wages for plowing with bulls locked	കാളയെ പൂട്ടിയുള്ള ഉഴുവലിനുള്ള കൂലി
Plow plowing	കാളയെ പൂട്ടിയുള്ള ഉഴുവൽ
Bullfighting	കാളരാത്രി
Bullock cart	കാളവണ്ടി
Bullock cart ride	കാളവണ്ടി യാത്ര
Bullock cart.	കാളവണ്ടി.
The bull snake	കാളസര്പ്പം
Kali	കാളി
Kalimdi	കാളിംദി
Kalidasa	കാളിദാസന്
Callian	കാളിയന്‍
കാളീകം	കാളീകം
കാളീകുണ്ട്	കാളീകുണ്ട്
View	കാഴ്ച
Low vision	കാഴ്ച കുറവ്
View bungalow	കാഴ്ച ബംഗ്ലാവ്
Blurred vision.	കാഴ്ച മങ്ങല്.
Viewer.	കാഴ്ചക്കാരന്.
Perspective	കാഴ്ചപ്പാട്
Sight	കാഴ്ചമങ്ങൽ
Sight.	കാഴ്ച്ച.
കാവടി	കാവടി
കാവടികള്	കാവടികള്
കാവടിക്കാരൻ	കാവടിക്കാരന്‍
Watchtower	കാവലറ
Watch	കാവല്
Watchman	കാവല്ക്കാരന്
The guard	കാവല്ക്കാരന്‍
Watchtower	കാവല്പുര
Watchtower	കാവല്പ്പുര
Watchman	കാവല്ഭടന്
The Guard	കാവല്സൈന്യം
Watch	കാവല്‍
Saffron color	കാവി നിറം
Saffron soil	കാവിനിറമുള്ള മണ്ണ്
Saffron	കാവിമണ്ണ്
Cauvery River	കാവേരി നദി
Book of Poetry	കാവ്യ ഗ്രന്ഥം
Poetic categories.	കാവ്യ വിഭാഗങ്ങള്.
Poetry	കാവ്യം
Poetry	കാവ്യാലങ്കാരം
Tuberculosis	കാശപുല്ല്
Kashi Viswanathan	കാശി വിശ്വനാഥന്‍
Thyme	കാശിതുമ്പ
Cash	കാശു
Kashmiri fish	കാശ്മീര മീന്‍
Born in Kashmir	കാശ്മീരജന്മാവ്
Kashmiri	കാശ്മീരി
Kashmiri Kundalam	കാശ്മീരി കുണ്ടലം
Kashmiri language	കാശ്മീരി ഭാഷ
Kashmiri script	കാശ്മീരി ലിപി
Kashmiris	കാശ്മീരികൾ
Kashmir	കാശ്മീര്‍
Kashyap	കാശ്യപി
Cashew clothing	കാഷായ വസ്ത്രം
Tincture	കാഷായം
Shit	കാഷ്ടം
Feces	കാഷ്ഠം
Litter	കാഷ്ഠതക്ഷകന്‍
Casa disease	കാസ രോഗം
Kasam	കാസം
Kasar	കാസര്
Kasaragod	കാസര്‍ഗോഡ്
Kazani	കാസാനി
Cassette	കാസെറ്റ്
Castries	കാസ്ട്രീസ്
Caspian	കാസ്പിയന്‍
Caspian Sea	കാസ്പിയന്‍ കടല്
Casting vote	കാസ്റ്റിംഗ് വോട്ട്
Trumpet	കാഹളം
Kahira	കാഹിറ
Kanhada	കാൻഹട
Kanhati	കാൻഹടി
Car servants	കാർ സേവകർ
Karmukam	കാർമ്മുകം
Rope tied to the leg	കാൽ കൂട്ടികെട്ടിയ കയർ
Calf	കാൽചിരങ്ങ്
Footsteps	കാൽച്ചിലമ്പ്
Pedestrian	കാൽനടവില്പ്പനക്കാരന്
Kingiri	കിംഗിരി
Kingston	കിംഗ്സ്റ്റണ്‍
കിംഭിനസി	കിംഭിനസി
Rumor has it	കിംവദന്തി
കിംശാസ	കിംശാസ
Kiki	കിഖി
Kigali	കിഗലി
Kinkaran	കിങ്കരന്‍
Kingstown	കിങ്സ്റ്റൌണ്
Bed	കിടക്ക
Thorns on the bed	കിടക്കയില്‍ മുള്ളി
lie down	കിടക്കുക
Lying device	കിടക്കുന്നതിന്നുള്ള ഉപകരണം
Trench	കിടങ്ങ്
Bedroom	കിടപ്പാടം
Bedroom	കിടപ്പുമുറി
കിടപ്പു⁇	കിടപ്പു്‌
The calf is a dead cow	കിടാവ് ചത്തുപോയ പശു
കിടി	കിടി
കിടുകിടുപ്പു⁇	കിടുകിടുപ്പു്‌
Getting	കിട്ടല്‍
Not available	കിട്ടാതിരിക്കല്
Absence	കിട്ടായ്മ
Commission received	കിട്ടുന്ന കമ്മിഷന്‍
Interest earned	കിട്ടുന്ന പലിശ
The first pit for the well	കിണറിനായിട്ടുള്ള ആദ്യ കുഴി
Achievement of the well	കിണറിന്റെ കൈവരി
Well	കിണറു്‌
The shore of the well	കിണറ്റിന്റെ കര
Coir pulling water from a well	കിണറ്റില് നിന്ന് വെള്ളം കോരുന്ന കയര്
Well net	കിണറ്റുവല
കിണ്ടി	കിണ്ടി
Kintin Pass	കിണ്ടിൻ കടവ്
Bowl	കിണ്ണം
കിണ്വകം	കിണ്വകം
Palpitations	കിതപ്പ്
Stirring	കിതയ്ക്കല്‍
Kitsa	കിത്സാ
കിനാവു⁇	കിനാവു്‌
The harp	കിന്നരം
കിന്നരന്മാര്	കിന്നരന്മാര്
Kintal	കിന്റല്
കിമാം	കിമാം
Ray	കിരണം
Kirandi	കിരണ്ഡി
കിരാതര്	കിരാതര്
Kiri	കിരി
Kiribati	കിരിബാടി
Kiribati dollars	കിരിബാടി ഡോളര്‍
Kiriath	കിരിയാത്ത്
Crown	കിരീടം
കിരുകിരുപ്പ്	കിരുകിരുപ്പ്
The sound of grunting	കിരുകിരുപ്പ് ശബ്ദ്ദം
Kirk	കിര്ക്ക്
Kyrgyzstan	കിര്ഗിസ്താങ്കാരന്‍
Kyrgyz language	കിര്‍ഗി ഭാഷ
Kyrgyzstan	കിര്‍ഗിസ്ഥാന്‍
Kyrgyz	കിര്‍ഗുകള്‍
കിറ	കിറ
കിറുക്കൻ	കിറുക്കന്‍
കിറുക്ക്	കിറുക്ക്
കിറുങ്ങല്	കിറുങ്ങല്
കിലകി	കിലകി
Kilk	കിലക്ക്
Kill	കിലുംകിലും
jingle	കിലുക്കം
Kg	കിലോഗ്രാം
Kilometers	കിലോമീറ്റര്
Kilbisham	കില്ബിഷം
കിളയല്ക്കാരന്	കിളയല്ക്കാരന്
കിളയ്ക്കല്	കിളയ്ക്കല്
Distillation	കിളയ്ക്കല്‍
കിളരം	കിളരം
Stir	കിളവി
bird	കിളി
The parrot	കിളികുഞ്ഞ്
The parrot	കിളിക്കുഞ്ഞ്
Cricket	കിളിക്കൂട്
കിളിക്കൊഞ്ചല്	കിളിക്കൊഞ്ചല്
കിളിയാം ചട്ടി	കിളിയാം ചട്ടി
കിളിവാതില്	കിളിവാതില്
In the window	കിളിവാതില്‍
Stirring	കിളിർക്കൽ
East wind	കിഴക്കന്‍ കാറ്റ്
East Godavari District	കിഴക്കന്‍ ഗോദാവരി ജില്ല
East Medinipuram	കിഴക്കന്‍ മേദിനിപുരം
East	കിഴക്ക്
East	കിഴക്ക്‌
Potato	കിഴങ്ങ്
Potato plant	കിഴങ്ങ് ചെടി
കിഴി	കിഴി
കിഴി.	കിഴി.
Tearing	കിഴിക്കല്‍
The last request	കിഴിഞ്ഞപേക്ഷിക്കല്‍
Discount	കിഴിവ്
The neck	കിഴുത്ത
Kiwi	കിവി
Kiwis	കിവീസുകാരന്‍
Kishinev	കിശിനേവ്
കിഷ്കിംധ	കിഷ്കിംധ
Kishkindha mountain	കിഷ്കിംധപർവ്വതം
Raisins	കിസ്മിസ്
Kilkauya	കിൽകൌയ
Key	കീ
Pest	കീടം
Insecticide	കീടനാശിനി
Insect eater	കീടഭക്ഷകന്
Insect	കീടമാങ്ങ
Insecticide	കീടമാവ്
Insect	കീടാണു
Germs	കീടാണുക്കള്‍
Insecticide	കീടാണുനാശിനി
Insect	കീടൊ
കീണ്ടി	കീണ്ടി
Key	കീപ
Keyboard	കീബോര്ഡ്
Keyboard	കീബോര്‍ഡ്
Chemotherapy	കീമോതെറാപ്പി
Keeram	കീരം
Kiri	കീരി
Kiri.	കീരി.
Psalm	കീര്ത്തനം
Keerthi	കീര്ത്തി
Keerthi Kate	കീര്ത്തി കേട്
Anthem	കീര്ത്തിഗാനം
Rags	കീറത്തുണി
Tear	കീറല്
Tearing	കീറിമുറിക്കല്‍
Torn bamboo stalk	കീറിയെടുത്ത മുളതണ്ട്
Incision	കീറൽ
The key	കീലം
The key	കീലകം
The key.	കീലകം.
The key	കീലാലം
Keychain	കീലാലകം
Key	കീല്‌
Conquest	കീഴടക്കല്
Conquest.	കീഴടക്കല്.
Surrender	കീഴടങ്ങല്
Bottom	കീഴറ്റം
Subordinate	കീഴാളൻ
Lower Nellie	കീഴാർ നെല്ലി
Below	കീഴെ
Downward slope‌	കീഴോട്ടുള്ള ചരിവു്‌
Lower lip	കീഴ് ചുണ്ട്
കീഴ് തനത്രി	കീഴ് തനത്രി
Lower neck	കീഴ്കഴുത്ത്
Lower court judge	കീഴ്കോടതി ന്യായാധിപൻ
Lower caste	കീഴ്ജാതിക്കാരന്
Subordinate	കീഴ്ജീവനക്കാരന്
Rituals to be performed according to obedience.	കീഴ്നടപ്പു്  അനുസരിച്ചു്‌ അനുഷ്ടിക്കേണ്ട ആചാരങ്ങള്.
Subjugation	കീഴ്പ്പെടുത്തല്
Bottom	കീഴ്ഭാഗം
Kiva	കീവ
Key	കീശ
Keesha	കീശ്ശ
Infamy	കീർത്തിയില്ലായ്മ
Pest	കീ‍ടം
Saffron.	കുംകുമപ്പൂ.
Aquarius	കുംഭം
Aquarius	കുംഭംരാശി
Scam	കുംഭകക്രിയ
Scam	കുംഭകോണം
Scandal	കുംഭക്കാറ്റ്
Kumbhakarna	കുംഭകർണ്ണൻ
Kumbhadasi	കുംഭദാസി
Full moon in the month of Aquarius	കുംഭമാസത്തിലെ പൌർണ്ണമി
Aquarius	കുംഭമേള
Aquarius	കുംഭരാശി
Aquarius	കുംഭി
Kumbhiras	കുംഭീരാ‍സ്
Kumbhodaran	കുംഭോദരൻ
Kumhatauri	കുംഹടൌരി
Kukubha Raga	കുകുഭ രാഗം
Cooker	കുക്കര്‍
Chicken meat	കുക്കുടമാംസം
Kukshi	കുക്ഷി
Hamlet	കുഗ്രാമം
Saffron	കുങ്കുമം
Saffron	കുങ്കുമച്ചെപ്പ്
Saffron	കുങ്കുമനിറം
Saffron	കുങ്കുമമിടല്‍
കുചം	കുചം
കുചങ്ങൾ	കുചങ്ങള്‍
കുചേലന്	കുചേലന്
Kuchipudi	കുച്ചിപ്പുടി
കുജം	കുജം
കുജന്	കുജന്
കുഞ്ചട	കുഞ്ചട
കുഞ്ചടി	കുഞ്ചടി
കുഞ്ചരം	കുഞ്ചരം
കുഞ്ചരൻ	കുഞ്ചരൻ
കുഞ്ചിക.	കുഞ്ചിക.
Horses with long fur	കുഞ്ചിരോമം വിരിഞ്ഞു കിടക്കുന്ന കുതിര
കുഞ്ഞമ്മ	കുഞ്ഞമ്മ
Infants	കുഞ്ഞുകുട്ടികൾ
Baby	കുഞ്ഞൂണ്
Baby	കുഞ്ഞോളം
Baby	കുഞ്ഞ്
Baby	കുഞ്ഞ്കിളി
Baby	കുഞ്ഞ്‌
Umbrella	കുട
Pot	കുടം
Umbrella	കുടക്കാരൻ
Kudag	കുടഗ്
Umbrella holder	കുടപിടിക്കുന്നവൻ
Kudappana	കുടപ്പന
No fork	കുടമുല്ല
Lemongrass	കുടമ്പുളി
Intestinal daughter	കുടലപുത്രി
The place where the intestines meet	കുടലുകൾ ചേരുന്ന സ്ഥലം
Intestinal inflammation	കുടലെരിച്ചില്
Intestinal fever	കുടല്ജ്വരം
Intestine	കുടല്‍
Rheumatoid arthritis	കുടല്‍ വാതം
Intestinal flatulence	കുടല്‍ വായു
Umbilical cord	കുടവയര്‍
The abdomen.	കുടവയറു്.
Drink	കുടി
Residence	കുടികിടപ്പുസ്ഥലം
Drinking	കുടിക്കൽ
Residential area	കുടിപാര്പ്പു സ്ഥലം
Drink	കുടിപ്പക
Drinking	കുടിപ്പിക്കല്‍
Tenant	കുടിയന്
Tenant	കുടിയാന്‍
Immigrant power	കുടിയേറ്റ അധികാരം
Immigrant country	കുടിയേറ്റ രാജ്യം
Immigration	കുടിയേറ്റം
Immigrants	കുടിയേറ്റക്കാര്
Immigrant	കുടിയേറ്റക്കാരൻ
Hut grass	കുടിരപ്പുല്ല്
Cottage care.	കുടില കടാക്ഷം.
Cottage	കുടിലന്‍
Hut	കുടില്
Cottage manure	കുടില്ത്താണവളം
Cottage industry	കുടില്‍ വ്യവസായം
Cottage	കുടിലൻ
Arrears	കുടിശ്ശിക
Drink	കുടീക
The drunkard	കുടീചകന്‍
Tomb	കുടീരം
Family	കുടുംബം
